type,model,created_at,usage_input,usage_output
first,model1,16.05.2024,7944,6863
first,model1,09.02.2024,3790,5529
second,model2,23.03.2024,7394,4190
third,model1,03.05.2024,4260,2566
second,model2,29.04.2024,5828,2097
third,model1,04.01.2024,9738,4278
first,model3,26.02.2024,882,9515
second,model1,05.01.2024,2301,3565
third,model1,07.02.2024,6703,1837
first,model3,03.02.2024,5182,7300
second,model1,18.02.2024,5012,9034
first,model2,10.05.2024,7088,3875
second,model1,04.03.2024,3672,5194
first,model3,28.03.2024,9933,2666
first,model1,14.04.2024,1206,5168
first,model3,12.03.2024,685,8047
first,model1,17.04.2024,5817,887
first,model1,02.01.2024,5244,8063
third,model3,07.02.2024,6058,6035
third,model1,23.04.2024,7479,1978
first,model2,17.03.2024,1054,1198
second,model1,30.04.2024,4787,7437
second,model2,30.04.2024,2736,6100
third,model1,29.04.2024,1794,7263
third,model1,23.04.2024,9592,2020
second,model3,06.05.2024,2104,1812
first,model1,30.01.2024,3292,7345
third,model1,08.01.2024,1495,3349
third,model2,21.01.2024,2527,7065
third,model2,15.05.2024,334,538
third,model3,07.04.2024,9579,4859
third,model2,16.01.2024,8803,154
first,model3,06.02.2024,1750,8872
first,model1,27.03.2024,2911,8958
second,model2,17.03.2024,5514,653
second,model3,01.01.2024,9694,4949
second,model1,25.03.2024,6068,5161
first,model2,13.01.2024,3044,4777
third,model1,16.01.2024,2483,1927
third,model3,08.02.2024,8400,4302
first,model1,20.03.2024,4009,679
first,model3,29.03.2024,8438,2249
third,model2,12.04.2024,9174,9319
third,model3,06.01.2024,7266,8431
first,model3,01.05.2024,4180,6099
second,model3,13.02.2024,7874,8054
second,model1,03.02.2024,4396,6419
third,model1,05.04.2024,1139,6079
third,model3,22.02.2024,7920,2913
third,model1,20.02.2024,6476,2632
first,model2,07.04.2024,2964,1709
second,model3,20.03.2024,4774,4152
third,model1,13.04.2024,7327,5723
second,model3,15.01.2024,2192,3845
third,model1,03.05.2024,6378,279
second,model1,13.02.2024,8277,9356
third,model3,21.03.2024,964,9860
first,model2,01.03.2024,4563,5232
second,model3,17.02.2024,7057,8496
second,model1,26.02.2024,9606,3855
first,model2,26.03.2024,5390,5670
first,model2,19.04.2024,8795,2978
second,model1,27.03.2024,6044,5888
third,model3,08.04.2024,2211,821
first,model2,10.04.2024,5863,891
first,model2,04.03.2024,6759,9861
first,model1,15.02.2024,8206,4780
third,model1,14.01.2024,8409,6328
second,model1,10.05.2024,6766,8661
third,model3,20.03.2024,1023,3115
second,model3,06.02.2024,971,2940
third,model3,29.03.2024,2167,5828
second,model2,26.02.2024,7198,5901
first,model1,16.02.2024,8821,8116
first,model3,16.02.2024,7076,2264
third,model3,06.02.2024,6455,573
second,model2,02.03.2024,3821,9168
first,model2,30.01.2024,1665,8037
third,model2,03.04.2024,4022,9279
third,model1,09.01.2024,2750,4957
first,model1,13.02.2024,5138,7764
first,model3,05.05.2024,4063,8911
first,model2,08.05.2024,4174,7416
second,model3,13.03.2024,1014,51
second,model1,30.01.2024,4308,2716
first,model3,22.03.2024,3659,414
second,model1,11.05.2024,426,7204
third,model1,14.03.2024,9523,7627
second,model2,15.02.2024,4461,2690
second,model1,11.03.2024,9459,6936
second,model1,27.03.2024,6851,9023
third,model3,05.02.2024,7863,3930
third,model2,13.03.2024,2014,1302
third,model2,02.04.2024,2811,7302
first,model2,03.01.2024,6560,1796
second,model1,06.02.2024,8847,2016
third,model3,17.03.2024,3860,6537
third,model1,22.02.2024,1719,6792
second,model3,02.03.2024,1167,9349
first,model2,07.01.2024,9064,5330
first,model3,04.05.2024,5472,7545
third,model2,02.04.2024,995,707
first,model3,09.01.2024,4054,9368
first,model1,24.02.2024,1140,5430
third,model1,03.04.2024,4337,707
third,model1,03.02.2024,4778,8362
third,model3,16.03.2024,9960,9133
third,model3,07.05.2024,1160,163
first,model2,13.02.2024,127,8823
first,model3,26.04.2024,6267,1400
second,model2,04.03.2024,1697,396
first,model1,02.05.2024,8348,6567
second,model2,23.03.2024,4005,8587
second,model2,27.01.2024,8181,7139
second,model1,14.02.2024,4903,3711
first,model3,08.04.2024,3544,1184
second,model3,15.03.2024,687,8626
first,model1,10.02.2024,4727,9421
first,model3,11.01.2024,8846,6340
second,model2,11.04.2024,6307,6049
first,model1,14.04.2024,6514,6820
third,model1,11.01.2024,3124,3271
third,model2,29.04.2024,9385,405
first,model1,23.02.2024,2113,9947
first,model2,04.03.2024,909,2433
third,model1,12.02.2024,1288,1530
third,model2,11.04.2024,508,1833
first,model3,29.01.2024,7408,1398
first,model3,07.03.2024,9822,6597
first,model1,16.04.2024,4302,4612
third,model3,30.01.2024,2511,7016
first,model2,17.01.2024,4277,319
first,model1,25.03.2024,701,8906
first,model1,07.02.2024,4938,8506
third,model2,03.04.2024,6241,5608
first,model3,01.02.2024,4240,7691
second,model3,10.05.2024,5969,817
first,model2,23.01.2024,7325,2888
third,model1,08.03.2024,7767,1502
second,model1,20.04.2024,2986,6857
third,model1,29.01.2024,5329,6250
first,model1,04.03.2024,7657,1400
first,model3,11.04.2024,3777,4359
third,model1,03.02.2024,8051,4378
first,model3,28.03.2024,8030,9842
second,model2,18.02.2024,6310,3074
first,model1,15.04.2024,1868,287
second,model2,02.02.2024,1943,8965
third,model2,06.05.2024,1858,6110
third,model2,16.01.2024,9316,8068
second,model2,19.01.2024,1449,7547
first,model2,08.01.2024,755,3610
third,model1,22.04.2024,8856,1857
third,model3,24.02.2024,2743,7199
first,model2,19.01.2024,8213,9991
first,model1,20.02.2024,5057,5622
first,model3,19.04.2024,9520,2306
first,model2,08.02.2024,701,5536
first,model2,08.02.2024,1735,705
second,model2,19.04.2024,7469,2497
second,model2,29.04.2024,2445,7728
third,model2,10.02.2024,6486,9870
first,model3,05.03.2024,6920,6223
first,model1,06.04.2024,7026,9193
second,model1,26.03.2024,578,6128
second,model2,12.04.2024,9865,5340
third,model2,10.05.2024,7122,4920
third,model2,13.02.2024,7032,9983
second,model1,10.04.2024,2576,5109
second,model3,16.05.2024,2221,101
third,model1,09.04.2024,328,8125
first,model1,28.02.2024,8678,3433
third,model1,04.02.2024,1913,112
second,model2,18.03.2024,6846,6039
second,model3,14.01.2024,9681,6119
first,model2,08.01.2024,945,1965
second,model2,22.04.2024,3072,5140
first,model2,09.01.2024,7591,9137
first,model1,20.01.2024,1576,6948
second,model2,04.02.2024,513,4359
first,model3,24.01.2024,3592,5758
third,model1,31.03.2024,6999,6170
second,model2,04.04.2024,4148,7443
second,model2,07.05.2024,5378,5951
third,model1,15.02.2024,3776,455
second,model2,26.04.2024,8159,9977
second,model2,01.02.2024,1787,4150
first,model1,05.01.2024,6905,8254
third,model3,19.04.2024,2503,3837
first,model2,20.01.2024,7881,2590
third,model3,19.04.2024,1182,6186
first,model3,08.03.2024,6676,2494
first,model1,20.02.2024,4897,1999
second,model2,05.02.2024,2038,1694
first,model2,03.03.2024,3263,54
second,model2,08.05.2024,4618,2419
second,model2,03.01.2024,8652,9114
first,model1,10.03.2024,3394,6537
first,model1,15.03.2024,2244,3260
third,model1,24.03.2024,1311,4835
first,model2,29.03.2024,4310,1494
second,model3,03.04.2024,2999,1564
third,model2,21.01.2024,9174,5177
second,model3,01.02.2024,1181,8051
first,model2,29.01.2024,6343,6039
first,model2,27.01.2024,9033,6260
second,model1,22.03.2024,1229,3012
third,model1,18.04.2024,2054,6982
third,model1,09.03.2024,4592,9407
third,model3,24.03.2024,4008,9978
third,model1,01.01.2024,1632,4891
second,model2,13.02.2024,904,6554
first,model2,09.05.2024,4,1708
second,model1,09.01.2024,1117,5134
first,model1,02.01.2024,1551,7855
first,model1,13.04.2024,381,355
third,model1,15.02.2024,340,1849
third,model1,09.01.2024,5598,1017
third,model3,10.04.2024,2502,9412
second,model3,05.04.2024,4872,4119
first,model3,05.02.2024,2949,9675
third,model2,07.05.2024,8405,173
second,model3,14.02.2024,6236,2228
first,model1,12.03.2024,4339,9916
third,model3,08.05.2024,8429,2376
second,model3,08.03.2024,1418,6632
second,model3,04.02.2024,280,1701
third,model2,25.03.2024,5244,4710
third,model1,07.05.2024,3526,9367
first,model1,27.03.2024,1411,5371
second,model3,27.03.2024,1513,880
first,model2,03.05.2024,502,6708
second,model2,06.04.2024,8939,7027
third,model3,22.02.2024,8147,2965
first,model3,11.05.2024,8170,5367
first,model1,18.01.2024,263,6830
first,model1,08.02.2024,4629,2437
second,model2,24.04.2024,3918,8486
third,model3,02.05.2024,4371,717
second,model2,02.05.2024,6211,9420
first,model3,19.02.2024,1313,3829
third,model3,10.05.2024,5679,7193
first,model3,17.03.2024,8598,3801
third,model1,20.02.2024,5947,5880
third,model3,04.04.2024,9418,6911
first,model3,08.03.2024,1832,4402
third,model3,30.01.2024,9682,2863
second,model2,03.03.2024,6177,7831
second,model3,04.03.2024,6975,9040
first,model2,15.02.2024,7327,2314
third,model1,30.03.2024,1674,8948
third,model1,15.03.2024,1874,2853
first,model1,18.03.2024,6340,2021
third,model3,16.01.2024,3803,4985
first,model2,05.01.2024,498,9103
first,model2,24.01.2024,8928,8760
first,model1,23.02.2024,4337,3385
first,model1,22.04.2024,4172,3472
second,model2,18.04.2024,8465,6198
first,model1,23.01.2024,2394,1284
first,model3,10.04.2024,2766,1063
first,model1,13.03.2024,6819,8445
second,model1,25.03.2024,4954,7980
first,model3,11.01.2024,575,4572
second,model2,07.01.2024,9666,1551
first,model3,19.03.2024,6490,3342
third,model1,27.02.2024,406,3615
second,model2,01.02.2024,8997,1479
third,model3,17.04.2024,8978,5229
third,model1,20.03.2024,7555,5083
second,model1,30.04.2024,9453,9414
first,model3,16.01.2024,955,2506
third,model1,09.05.2024,2844,9092
first,model2,26.04.2024,2645,214
first,model1,10.02.2024,538,2765
first,model3,02.05.2024,5861,5866
third,model1,02.05.2024,5559,2476
first,model1,29.01.2024,811,8328
third,model2,23.02.2024,4657,5885
third,model2,07.03.2024,8382,2841
third,model1,05.01.2024,5229,8951
first,model1,15.03.2024,8777,5057
third,model3,19.02.2024,7549,912
second,model3,01.02.2024,4358,1341
second,model1,02.03.2024,42,2489
second,model2,12.02.2024,3969,3804
second,model1,07.01.2024,9064,8305
second,model2,07.04.2024,3632,3471
second,model2,25.04.2024,1558,460
second,model3,21.02.2024,3226,6899
second,model1,04.02.2024,9843,463
second,model1,02.04.2024,4370,578
third,model3,26.03.2024,4617,7534
second,model2,18.01.2024,3926,3301
third,model2,29.03.2024,4386,1406
second,model1,10.05.2024,2352,673
first,model3,24.01.2024,8749,1510
third,model2,12.04.2024,2747,8311
first,model2,30.01.2024,364,7841
second,model3,13.03.2024,1708,7970
third,model3,12.05.2024,8630,7326
second,model3,06.03.2024,1670,1924
second,model3,16.03.2024,5384,1943
third,model1,30.03.2024,3487,7951
first,model1,24.02.2024,2334,7001
second,model2,26.02.2024,9500,3912
second,model2,03.01.2024,8298,2651
third,model2,02.04.2024,8532,2351
first,model1,27.03.2024,1997,5853
third,model2,19.04.2024,5743,5646
first,model3,01.05.2024,3963,3334
second,model2,12.01.2024,499,2011
first,model1,12.04.2024,7827,4588
first,model2,05.05.2024,9838,1594
first,model1,16.05.2024,671,1717
third,model3,03.04.2024,5734,4110
third,model1,12.01.2024,8792,2645
second,model3,11.05.2024,2191,9765
third,model1,06.05.2024,2947,8700
first,model1,08.03.2024,1217,7296
first,model2,07.01.2024,5552,7695
first,model1,27.04.2024,2618,7896
first,model2,22.04.2024,8967,4058
third,model1,18.01.2024,7161,8478
second,model2,17.02.2024,1721,9421
third,model2,04.04.2024,7935,6922
third,model3,04.03.2024,1367,4307
second,model3,23.01.2024,3588,6478
second,model2,01.03.2024,3018,7557
first,model1,12.01.2024,2003,6075
third,model2,16.03.2024,2722,7224
second,model3,03.05.2024,4237,6274
third,model3,10.04.2024,1710,4630
third,model2,23.03.2024,1904,8584
second,model3,13.01.2024,5468,205
third,model3,23.03.2024,2988,2013
third,model2,14.04.2024,6386,3679
first,model3,14.03.2024,9351,7857
second,model1,24.03.2024,663,3554
third,model3,31.01.2024,2839,4887
first,model2,08.05.2024,8084,393
second,model2,13.02.2024,1060,1361
first,model1,19.02.2024,8776,545
second,model1,13.02.2024,7513,1747
first,model2,02.03.2024,6610,4950
first,model3,28.04.2024,6310,8692
third,model2,03.04.2024,1113,768
first,model3,08.05.2024,5534,8678
third,model1,21.02.2024,3256,2878
third,model3,04.02.2024,1587,2742
first,model2,07.05.2024,8765,8705
first,model1,16.05.2024,3706,6276
first,model3,29.03.2024,1290,7257
first,model3,06.01.2024,286,1485
second,model3,04.01.2024,3394,8852
first,model2,08.02.2024,3445,1369
first,model3,01.03.2024,3040,8554
second,model3,29.01.2024,8208,8648
third,model2,18.04.2024,5551,9286
second,model3,02.01.2024,1887,6002
first,model1,05.01.2024,2292,9343
second,model2,12.01.2024,6938,4469
third,model2,24.03.2024,1157,2227
third,model3,17.02.2024,7211,1654
second,model1,30.04.2024,8927,8566
third,model1,11.02.2024,1109,7087
second,model3,02.04.2024,6294,3925
third,model2,25.01.2024,8394,1886
third,model1,25.03.2024,3658,3077
second,model1,05.02.2024,6442,5726
first,model3,10.01.2024,1950,9669
first,model1,09.01.2024,6683,7675
first,model3,15.02.2024,128,126
third,model1,21.02.2024,3307,2544
second,model1,06.02.2024,9686,51
second,model1,15.02.2024,7659,6798
second,model1,16.02.2024,6790,6527
first,model2,22.03.2024,8560,2106
first,model3,10.03.2024,4196,6581
first,model3,05.03.2024,4359,7897
second,model1,06.03.2024,1204,2607
third,model1,18.04.2024,656,7335
first,model1,30.01.2024,5240,5740
third,model2,25.03.2024,9009,4027
third,model2,21.02.2024,9205,597
second,model3,05.03.2024,7255,412
first,model1,26.03.2024,9254,3691
third,model1,02.03.2024,3321,5660
third,model3,11.04.2024,913,7726
first,model2,05.05.2024,9725,7503
second,model1,18.01.2024,4480,8806
third,model1,26.01.2024,4226,2863
first,model2,02.04.2024,3149,6306
second,model1,15.04.2024,1482,1461
third,model2,08.05.2024,6651,7446
first,model3,04.03.2024,6211,6143
second,model3,12.05.2024,3797,4779
first,model2,25.02.2024,2536,9953
first,model3,04.02.2024,611,2339
second,model1,10.02.2024,5110,9236
third,model1,12.04.2024,5388,8909
first,model2,31.03.2024,8195,3648
first,model1,16.04.2024,9007,630
third,model2,07.03.2024,3127,3336
second,model2,08.05.2024,7038,2471
first,model2,13.01.2024,6647,2957
first,model3,13.02.2024,1049,3268
first,model2,02.05.2024,3568,7871
third,model1,02.01.2024,952,2858
first,model3,12.05.2024,9190,9555
first,model3,14.02.2024,9489,7017
first,model3,21.01.2024,292,9519
first,model3,30.04.2024,422,3312
first,model2,05.04.2024,1496,5291
third,model1,16.05.2024,9647,2626
third,model1,12.04.2024,7379,5990
first,model1,24.01.2024,5353,7111
third,model1,18.03.2024,6789,395
second,model2,27.02.2024,1290,5367
first,model3,09.04.2024,3682,8408
second,model3,03.03.2024,3899,4923
first,model1,16.01.2024,3186,9453
third,model2,14.04.2024,3256,6048
second,model1,27.01.2024,5781,7559
first,model2,10.05.2024,7944,9637
first,model2,09.02.2024,5905,4733
first,model1,08.01.2024,6441,7380
first,model3,05.03.2024,8710,136
second,model2,14.02.2024,7884,4189
third,model1,14.04.2024,9810,1584
second,model1,29.03.2024,9954,6731
second,model1,29.02.2024,7761,3578
first,model2,12.05.2024,9499,113
second,model2,05.01.2024,2114,1170
third,model1,03.02.2024,8596,6129
third,model3,29.01.2024,1371,5555
second,model1,10.04.2024,9464,9615
third,model2,11.04.2024,9980,3324
second,model3,26.03.2024,2720,9140
first,model3,13.02.2024,7210,5228
second,model2,07.05.2024,446,3177
first,model3,29.04.2024,4890,8242
second,model3,29.03.2024,6983,5666
third,model3,03.04.2024,3234,5693
first,model1,08.04.2024,9973,3892
first,model3,05.05.2024,7383,2627
third,model2,23.03.2024,2489,4136
second,model2,20.04.2024,5046,4695
first,model3,08.04.2024,1452,4601
first,model1,07.03.2024,9241,34
second,model1,04.03.2024,7723,2065
first,model2,21.03.2024,5480,9182
first,model2,21.03.2024,8449,7142
third,model1,02.04.2024,7507,3142
first,model3,15.03.2024,1547,7155
third,model2,27.02.2024,4732,6245
second,model2,25.01.2024,1594,9114
second,model2,06.04.2024,1108,929
first,model1,09.04.2024,4245,7275
first,model3,07.02.2024,9985,5568
second,model3,27.02.2024,5855,1177
third,model2,25.01.2024,2746,6343
second,model3,20.03.2024,8151,8439
second,model2,18.03.2024,5620,4970
first,model3,29.02.2024,7256,978
first,model3,02.04.2024,5694,5108
third,model2,02.02.2024,2372,4028
first,model2,20.01.2024,8107,8612
second,model3,21.03.2024,2061,7743
second,model3,08.05.2024,7929,901
first,model3,21.03.2024,623,1303
first,model1,23.03.2024,4654,5851
second,model3,27.04.2024,1840,5632
third,model1,26.04.2024,9940,141
third,model3,12.05.2024,514,8993
second,model2,11.02.2024,5865,9923
first,model2,23.04.2024,8909,9102
first,model3,16.04.2024,8768,312
third,model1,17.02.2024,4227,2101
first,model1,07.01.2024,346,4427
second,model2,15.02.2024,2710,5640
third,model2,10.02.2024,1465,737
first,model1,02.04.2024,4353,7720
third,model1,28.03.2024,4770,8337
third,model2,04.05.2024,4367,7542
first,model3,18.04.2024,4639,3469
first,model1,07.02.2024,9617,298
second,model1,25.01.2024,8606,1943
second,model2,23.03.2024,6718,8725
second,model2,20.03.2024,7915,2022
second,model1,12.04.2024,8175,6706
second,model1,02.05.2024,3034,1890
third,model2,13.03.2024,2610,2998
second,model1,30.03.2024,2020,1981
first,model1,22.03.2024,4919,1097
third,model2,14.03.2024,1525,9020
first,model1,15.01.2024,9557,5660
third,model1,15.02.2024,9408,3107
third,model1,31.01.2024,1079,7969
second,model3,02.02.2024,3494,6977
second,model1,27.02.2024,5581,3042
first,model2,25.03.2024,2947,3808
third,model3,15.03.2024,9348,362
third,model2,16.03.2024,9910,7850
first,model3,15.02.2024,7183,6689
first,model2,03.05.2024,4301,5883
third,model2,23.04.2024,9269,6366
third,model1,26.04.2024,8194,5381
third,model3,28.04.2024,9519,3666
second,model2,12.04.2024,2300,5065
second,model1,15.01.2024,8188,969
first,model2,15.05.2024,3985,9413
second,model1,23.04.2024,3878,2795
first,model3,25.02.2024,9245,7283
first,model2,05.04.2024,4751,7374
second,model3,03.02.2024,4328,9574
second,model3,21.03.2024,2161,4172
second,model3,07.01.2024,2615,7377
first,model3,01.04.2024,6126,1705
second,model2,21.03.2024,7758,9211
third,model3,06.04.2024,1342,2177
second,model3,14.04.2024,8608,1401
second,model2,01.02.2024,2617,9897
second,model2,09.03.2024,6843,6069
first,model3,31.03.2024,7120,5807
second,model2,07.02.2024,8063,1209
first,model3,01.04.2024,6747,2044
third,model2,01.04.2024,6517,1655
first,model1,24.04.2024,2958,6226
first,model3,15.04.2024,5315,1498
first,model3,03.03.2024,933,6233
first,model3,01.05.2024,2005,8558
third,model2,22.02.2024,2710,8794
third,model1,05.04.2024,7444,8046
third,model3,23.04.2024,8976,9686
first,model3,18.02.2024,2757,2439
third,model2,29.04.2024,2065,1082
first,model1,03.02.2024,5750,3550
first,model3,24.01.2024,8243,7987
first,model3,20.03.2024,106,3709
second,model3,30.03.2024,7791,1991
second,model3,04.04.2024,9888,5255
third,model1,20.03.2024,3452,756
third,model1,22.02.2024,9656,7877
first,model2,01.03.2024,1177,4714
first,model3,11.03.2024,4554,3853
third,model1,11.04.2024,1043,7101
third,model3,27.04.2024,4580,7232
first,model3,03.05.2024,8264,6698
second,model1,16.01.2024,8758,9829
first,model1,28.01.2024,106,7945
second,model1,12.04.2024,2236,841
second,model2,28.03.2024,3280,5327
second,model3,03.05.2024,6774,7783
third,model3,18.04.2024,9445,1620
second,model3,14.01.2024,6776,6684
second,model3,20.04.2024,2263,9319
first,model2,08.02.2024,3012,375
third,model1,02.04.2024,2600,1264
third,model1,22.01.2024,815,8553
third,model3,03.01.2024,7294,4922
first,model3,15.01.2024,4,1263
first,model3,21.02.2024,5649,9598
second,model3,02.01.2024,7983,2403
third,model1,22.01.2024,6102,3659
third,model1,10.05.2024,6510,1293
first,model2,02.04.2024,858,3175
third,model3,18.01.2024,6151,4215
third,model2,29.01.2024,7628,8873
second,model3,22.03.2024,4043,4084
third,model3,12.01.2024,7228,3636
second,model1,18.03.2024,8028,3794
second,model3,06.01.2024,6792,4702
third,model2,09.03.2024,1890,5439
first,model3,14.04.2024,8955,6463
first,model2,17.03.2024,775,6887
first,model2,18.04.2024,7491,5822
second,model3,20.03.2024,6838,7641
third,model3,04.02.2024,3912,3908
third,model3,27.04.2024,5458,4913
second,model1,04.03.2024,4046,5575
third,model2,13.04.2024,3038,2163
first,model3,09.05.2024,3780,2961
first,model1,04.02.2024,1764,4650
third,model3,08.03.2024,5737,3586
second,model3,10.04.2024,4382,3364
second,model3,04.03.2024,8572,8562
first,model3,19.04.2024,4900,3508
second,model1,09.01.2024,8482,4580
second,model2,04.02.2024,2544,941
second,model1,03.01.2024,2986,1257
second,model2,16.05.2024,9336,9521
third,model3,16.02.2024,9704,2309
third,model3,05.01.2024,3448,561
third,model1,30.01.2024,2216,2739
second,model1,23.01.2024,5431,3561
third,model3,16.04.2024,1695,6166
second,model1,10.03.2024,6482,9907
first,model1,07.02.2024,3740,2404
second,model2,15.04.2024,3357,7415
second,model1,23.02.2024,515,2123
third,model2,23.01.2024,3546,901
first,model2,30.04.2024,1148,1654
third,model1,25.04.2024,7269,3793
second,model2,28.02.2024,9895,7344
second,model1,16.04.2024,6514,7485
second,model3,23.03.2024,8222,2513
second,model2,09.01.2024,1600,5717
third,model3,28.02.2024,6745,3408
second,model1,06.01.2024,3640,3263
second,model2,16.03.2024,9795,5472
second,model3,09.05.2024,7830,6027
second,model2,15.01.2024,292,6131
third,model1,22.02.2024,2613,5783
first,model3,12.01.2024,6839,3143
third,model2,29.01.2024,2917,5206
third,model2,28.03.2024,2330,3156
second,model3,15.04.2024,2235,5410
third,model1,22.01.2024,7185,7272
second,model3,24.03.2024,2396,2041
first,model1,28.04.2024,7890,1475
first,model2,07.02.2024,742,6609
second,model1,04.05.2024,4075,5300
third,model3,16.04.2024,2,5710
second,model3,06.05.2024,2686,8911
second,model3,11.01.2024,8616,7216
second,model1,10.03.2024,285,8586
first,model3,11.05.2024,5840,7910
third,model1,24.01.2024,3041,293
third,model3,27.02.2024,6244,7191
first,model1,06.01.2024,2204,5346
second,model1,29.01.2024,7112,5625
second,model1,30.03.2024,1824,4603
second,model1,13.03.2024,1822,7574
third,model2,08.01.2024,9452,4745
first,model3,01.03.2024,399,4307
second,model3,01.04.2024,9005,8774
second,model2,11.05.2024,6250,4496
third,model2,13.03.2024,8086,5136
first,model2,03.04.2024,1536,1345
second,model3,02.04.2024,3571,2312
first,model1,06.03.2024,5473,7812
first,model2,09.04.2024,9562,4870
second,model1,06.02.2024,423,4720
third,model2,16.05.2024,7948,7608
third,model1,13.04.2024,8383,8757
first,model1,28.02.2024,3631,1978
second,model2,03.02.2024,6627,4470
third,model3,14.04.2024,553,4841
third,model3,05.02.2024,757,5212
second,model2,18.03.2024,2913,5328
third,model1,28.03.2024,9917,4632
first,model2,25.01.2024,8591,6982
first,model2,17.02.2024,2951,4510
first,model1,19.04.2024,9483,8012
second,model2,18.02.2024,6455,7119
second,model3,04.03.2024,1366,6115
first,model3,01.02.2024,428,1321
third,model1,19.04.2024,9861,1833
third,model3,11.02.2024,8500,4079
third,model1,07.05.2024,666,7497
first,model1,01.04.2024,1772,3292
second,model2,05.02.2024,6482,5300
third,model2,20.02.2024,4757,9754
first,model1,28.03.2024,9604,9598
first,model2,16.03.2024,6932,9926
first,model2,25.02.2024,8415,4905
first,model1,03.04.2024,9622,8843
second,model3,24.04.2024,1628,5403
second,model2,24.02.2024,9879,6576
first,model3,27.02.2024,2018,9570
second,model2,15.02.2024,4232,7882
second,model1,15.01.2024,8052,1061
second,model2,05.02.2024,5425,7826
first,model2,19.01.2024,9962,3898
first,model2,10.03.2024,7064,6942
second,model3,19.01.2024,4942,4671
second,model3,26.02.2024,4613,4551
first,model1,13.02.2024,7613,1604
first,model2,14.01.2024,8307,9247
third,model3,31.01.2024,9853,9386
third,model3,13.05.2024,3239,8699
first,model2,16.03.2024,5806,8623
third,model1,04.01.2024,883,6497
first,model3,01.04.2024,2116,8502
second,model1,19.01.2024,1159,1528
third,model3,03.02.2024,1068,1748
first,model2,10.04.2024,4944,5257
first,model1,24.03.2024,150,3540
first,model1,15.04.2024,1101,1890
second,model2,06.01.2024,7013,8307
second,model2,17.01.2024,2669,2762
third,model1,07.03.2024,182,3592
third,model1,16.03.2024,3894,4329
third,model1,01.04.2024,319,542
first,model2,12.03.2024,3880,3763
third,model1,08.05.2024,4967,1027
first,model3,15.03.2024,9921,9434
second,model2,06.02.2024,4556,702
first,model2,12.01.2024,1068,6629
second,model2,18.03.2024,703,9401
third,model3,21.02.2024,6868,5356
second,model1,06.01.2024,8261,3572
first,model1,22.04.2024,2817,1219
second,model2,18.02.2024,3262,7982
first,model1,09.02.2024,9145,2444
third,model1,01.03.2024,4306,7641
third,model3,22.01.2024,353,357
third,model2,20.04.2024,3003,3667
third,model3,24.02.2024,3280,3972
first,model3,11.04.2024,9527,1450
first,model1,26.04.2024,6752,5608
third,model1,20.02.2024,4185,6380
third,model2,26.02.2024,1782,9605
second,model2,27.04.2024,1650,4657
third,model3,28.02.2024,2848,6126
second,model2,21.04.2024,9327,8762
third,model1,10.05.2024,8658,2450
third,model1,10.02.2024,1165,9066
third,model2,05.04.2024,7198,4041
third,model3,11.02.2024,3258,3935
first,model2,04.01.2024,9401,9846
second,model1,11.03.2024,3412,1063
second,model3,04.04.2024,605,4319
third,model2,12.01.2024,72,4982
first,model2,06.05.2024,8305,2162
second,model3,19.01.2024,3591,8464
third,model1,25.01.2024,3855,8245
first,model3,11.05.2024,591,1044
first,model1,13.02.2024,2291,6879
third,model2,21.02.2024,9064,657
first,model1,23.03.2024,7077,6722
first,model1,06.05.2024,1969,6826
second,model2,06.03.2024,7094,490
second,model3,20.01.2024,3417,9175
first,model1,14.04.2024,7155,5831
first,model3,17.04.2024,7838,2989
third,model2,16.03.2024,4730,6820
third,model2,07.02.2024,596,5722
first,model3,31.01.2024,1628,9027
second,model2,15.04.2024,9649,6097
third,model1,15.02.2024,7206,3258
third,model3,13.03.2024,8995,5342
third,model1,07.05.2024,1119,1973
third,model1,19.02.2024,7883,8080
third,model3,18.02.2024,9184,2933
third,model2,09.03.2024,876,5637
first,model1,08.04.2024,3709,8812
third,model1,06.01.2024,3069,3868
first,model1,05.05.2024,3520,1310
third,model3,01.05.2024,9441,6673
first,model2,09.02.2024,5895,3412
first,model3,09.03.2024,7751,7719
third,model2,13.02.2024,6836,4713
second,model3,17.04.2024,8445,7364
first,model1,26.02.2024,311,4871
third,model3,09.02.2024,8287,2383
second,model2,07.01.2024,469,3683
third,model3,04.02.2024,4907,7873
second,model1,24.04.2024,8162,3100
first,model2,21.03.2024,3680,4784
third,model3,17.01.2024,3246,862
second,model1,27.03.2024,2179,3804
third,model1,30.01.2024,1851,9647
first,model1,29.04.2024,1406,4447
third,model3,13.05.2024,5293,4549
second,model3,18.02.2024,5616,7457
third,model2,12.02.2024,164,9645
third,model1,22.01.2024,4438,4555
first,model2,03.03.2024,9237,4863
third,model1,30.03.2024,5631,2059
first,model3,23.03.2024,2226,1425
third,model2,01.03.2024,5541,4288
second,model3,11.05.2024,333,4587
third,model2,31.03.2024,5257,8572
second,model2,10.02.2024,2367,8361
first,model2,07.05.2024,5470,8153
third,model1,24.02.2024,7802,2808
second,model3,07.02.2024,2816,8973
third,model3,03.04.2024,4415,4834
second,model1,09.03.2024,4141,3958
second,model3,11.05.2024,9141,7052
second,model2,07.03.2024,5685,6263
second,model3,14.03.2024,7287,5012
first,model3,02.02.2024,5396,4111
